dataset,outer_fold,role,family,severity,requested,placed,effective,distinct_onsets,null,rejected,support,request_arithmetic
pleia_energy,2,inner1_selection,dropout,0.5,5,5,5,5,0,0,True,5
pleia_energy,2,inner1_selection,dropout,1.0,5,5,5,5,0,0,True,5
pleia_energy,2,inner1_selection,dropout,2.0,5,5,5,5,0,0,True,5
pleia_energy,2,inner1_selection,bias,0.5,5,5,5,5,0,0,True,5
pleia_energy,2,inner1_selection,bias,1.0,4,4,4,4,0,0,False,4
pleia_energy,2,inner1_selection,bias,2.0,3,3,3,3,0,0,False,3
pleia_energy,2,inner1_selection,level_shift,0.5,2,2,2,2,0,0,False,2
pleia_energy,2,inner1_selection,level_shift,1.0,1,1,1,1,0,0,False,1
pleia_energy,2,inner1_selection,level_shift,2.0,0,0,0,0,0,0,False,0
pleia_energy,2,inner1_selection,drift,0.5,0,0,0,0,0,0,False,0
pleia_energy,2,inner1_selection,drift,1.0,0,0,0,0,0,0,False,0
pleia_energy,2,inner1_selection,drift,2.0,0,0,0,0,0,0,False,0
rico,0,outer_test,random_missing,0.5,0,0,0,0,0,0,False,0
rico,0,outer_test,random_missing,1.0,0,0,0,0,0,0,False,0
rico,0,outer_test,random_missing,2.0,0,0,0,0,0,0,False,0
rico,0,outer_test,block_missing,0.5,0,0,0,0,0,0,False,0
rico,0,outer_test,block_missing,1.0,0,0,0,0,0,0,False,0
rico,0,outer_test,block_missing,2.0,0,0,0,0,0,0,False,0
rico,0,outer_test,stuck,0.5,0,0,0,0,0,0,False,0
rico,0,outer_test,stuck,1.0,0,0,0,0,0,0,False,0
rico,0,outer_test,stuck,2.0,0,0,0,0,0,0,False,0
rico,0,outer_test,dropout,0.5,0,0,0,0,0,0,False,0
rico,0,outer_test,dropout,1.0,0,0,0,0,0,0,False,0
rico,0,outer_test,dropout,2.0,0,0,0,0,0,0,False,0
rico,0,outer_test,bias,0.5,0,0,0,0,0,0,False,0
rico,0,outer_test,bias,1.0,0,0,0,0,0,0,False,0
rico,0,outer_test,bias,2.0,0,0,0,0,0,0,False,0
rico,0,outer_test,level_shift,0.5,0,0,0,0,0,0,False,0
rico,0,outer_test,level_shift,1.0,0,0,0,0,0,0,False,0
rico,0,outer_test,level_shift,2.0,0,0,0,0,0,0,False,0
rico,0,outer_test,drift,0.5,0,0,0,0,0,0,False,0
rico,0,outer_test,drift,1.0,0,0,0,0,0,0,False,0
rico,0,outer_test,drift,2.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,random_missing,0.5,1,1,1,1,0,0,False,1
rico,0,inner0_selection,random_missing,1.0,2,2,2,2,0,0,False,2
rico,0,inner0_selection,random_missing,2.0,3,3,3,3,0,0,False,3
rico,0,inner0_selection,block_missing,0.5,3,3,3,3,0,0,False,3
rico,0,inner0_selection,block_missing,1.0,3,3,3,3,0,0,False,3
rico,0,inner0_selection,block_missing,2.0,2,2,2,2,0,0,False,2
rico,0,inner0_selection,stuck,0.5,1,1,1,1,0,0,False,1
rico,0,inner0_selection,stuck,1.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,stuck,2.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,dropout,0.5,0,0,0,0,0,0,False,0
rico,0,inner0_selection,dropout,1.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,dropout,2.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,bias,0.5,0,0,0,0,0,0,False,0
rico,0,inner0_selection,bias,1.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,bias,2.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,level_shift,0.5,0,0,0,0,0,0,False,0
rico,0,inner0_selection,level_shift,1.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,level_shift,2.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,drift,0.5,0,0,0,0,0,0,False,0
rico,0,inner0_selection,drift,1.0,0,0,0,0,0,0,False,0
rico,0,inner0_selection,drift,2.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,random_missing,0.5,1,1,1,1,0,0,False,1
rico,0,inner1_selection,random_missing,1.0,2,2,2,2,0,0,False,2
rico,0,inner1_selection,random_missing,2.0,3,3,3,3,0,0,False,3
rico,0,inner1_selection,block_missing,0.5,3,3,3,3,0,0,False,3
rico,0,inner1_selection,block_missing,1.0,3,3,3,3,0,0,False,3
rico,0,inner1_selection,block_missing,2.0,2,2,2,2,0,0,False,2
rico,0,inner1_selection,stuck,0.5,1,1,1,1,0,0,False,1
rico,0,inner1_selection,stuck,1.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,stuck,2.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,dropout,0.5,0,0,0,0,0,0,False,0
rico,0,inner1_selection,dropout,1.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,dropout,2.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,bias,0.5,0,0,0,0,0,0,False,0
rico,0,inner1_selection,bias,1.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,bias,2.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,level_shift,0.5,0,0,0,0,0,0,False,0
rico,0,inner1_selection,level_shift,1.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,level_shift,2.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,drift,0.5,0,0,0,0,0,0,False,0
rico,0,inner1_selection,drift,1.0,0,0,0,0,0,0,False,0
rico,0,inner1_selection,drift,2.0,0,0,0,0,0,0,False,0
rico,1,outer_test,random_missing,0.5,0,0,0,0,0,0,False,0
rico,1,outer_test,random_missing,1.0,0,0,0,0,0,0,False,0
rico,1,outer_test,random_missing,2.0,0,0,0,0,0,0,False,0
rico,1,outer_test,block_missing,0.5,0,0,0,0,0,0,False,0
rico,1,outer_test,block_missing,1.0,0,0,0,0,0,0,False,0
rico,1,outer_test,block_missing,2.0,0,0,0,0,0,0,False,0
rico,1,outer_test,stuck,0.5,0,0,0,0,0,0,False,0
rico,1,outer_test,stuck,1.0,0,0,0,0,0,0,False,0
rico,1,outer_test,stuck,2.0,0,0,0,0,0,0,False,0
rico,1,outer_test,dropout,0.5,0,0,0,0,0,0,False,0
rico,1,outer_test,dropout,1.0,0,0,0,0,0,0,False,0
rico,1,outer_test,dropout,2.0,0,0,0,0,0,0,False,0
rico,1,outer_test,bias,0.5,0,0,0,0,0,0,False,0
rico,1,outer_test,bias,1.0,0,0,0,0,0,0,False,0
rico,1,outer_test,bias,2.0,0,0,0,0,0,0,False,0
rico,1,outer_test,level_shift,0.5,0,0,0,0,0,0,False,0
rico,1,outer_test,level_shift,1.0,0,0,0,0,0,0,False,0
rico,1,outer_test,level_shift,2.0,0,0,0,0,0,0,False,0
rico,1,outer_test,drift,0.5,0,0,0,0,0,0,False,0
rico,1,outer_test,drift,1.0,0,0,0,0,0,0,False,0
rico,1,outer_test,drift,2.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,random_missing,0.5,1,1,1,1,0,0,False,1
rico,1,inner0_selection,random_missing,1.0,2,2,2,2,0,0,False,2
rico,1,inner0_selection,random_missing,2.0,3,3,3,3,0,0,False,3
rico,1,inner0_selection,block_missing,0.5,3,3,3,3,0,0,False,3
rico,1,inner0_selection,block_missing,1.0,3,3,3,3,0,0,False,3
rico,1,inner0_selection,block_missing,2.0,2,2,2,2,0,0,False,2
rico,1,inner0_selection,stuck,0.5,1,1,0,0,1,0,False,1
rico,1,inner0_selection,stuck,1.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,stuck,2.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,dropout,0.5,0,0,0,0,0,0,False,0
rico,1,inner0_selection,dropout,1.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,dropout,2.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,bias,0.5,0,0,0,0,0,0,False,0
rico,1,inner0_selection,bias,1.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,bias,2.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,level_shift,0.5,0,0,0,0,0,0,False,0
rico,1,inner0_selection,level_shift,1.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,level_shift,2.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,drift,0.5,0,0,0,0,0,0,False,0
rico,1,inner0_selection,drift,1.0,0,0,0,0,0,0,False,0
rico,1,inner0_selection,drift,2.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,random_missing,0.5,1,1,1,1,0,0,False,1
rico,1,inner1_selection,random_missing,1.0,2,2,2,2,0,0,False,2
rico,1,inner1_selection,random_missing,2.0,3,3,3,3,0,0,False,3
rico,1,inner1_selection,block_missing,0.5,3,3,3,3,0,0,False,3
rico,1,inner1_selection,block_missing,1.0,3,3,3,3,0,0,False,3
rico,1,inner1_selection,block_missing,2.0,2,2,2,2,0,0,False,2
rico,1,inner1_selection,stuck,0.5,1,1,1,1,0,0,False,1
rico,1,inner1_selection,stuck,1.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,stuck,2.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,dropout,0.5,0,0,0,0,0,0,False,0
rico,1,inner1_selection,dropout,1.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,dropout,2.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,bias,0.5,0,0,0,0,0,0,False,0
rico,1,inner1_selection,bias,1.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,bias,2.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,level_shift,0.5,0,0,0,0,0,0,False,0
rico,1,inner1_selection,level_shift,1.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,level_shift,2.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,drift,0.5,0,0,0,0,0,0,False,0
rico,1,inner1_selection,drift,1.0,0,0,0,0,0,0,False,0
rico,1,inner1_selection,drift,2.0,0,0,0,0,0,0,False,0
rico,2,outer_test,random_missing,0.5,0,0,0,0,0,0,False,0
rico,2,outer_test,random_missing,1.0,0,0,0,0,0,0,False,0
rico,2,outer_test,random_missing,2.0,0,0,0,0,0,0,False,0
rico,2,outer_test,block_missing,0.5,0,0,0,0,0,0,False,0
rico,2,outer_test,block_missing,1.0,0,0,0,0,0,0,False,0
rico,2,outer_test,block_missing,2.0,0,0,0,0,0,0,False,0
rico,2,outer_test,stuck,0.5,0,0,0,0,0,0,False,0
rico,2,outer_test,stuck,1.0,0,0,0,0,0,0,False,0
rico,2,outer_test,stuck,2.0,0,0,0,0,0,0,False,0
rico,2,outer_test,dropout,0.5,0,0,0,0,0,0,False,0
rico,2,outer_test,dropout,1.0,0,0,0,0,0,0,False,0
rico,2,outer_test,dropout,2.0,0,0,0,0,0,0,False,0
rico,2,outer_test,bias,0.5,0,0,0,0,0,0,False,0
rico,2,outer_test,bias,1.0,0,0,0,0,0,0,False,0
rico,2,outer_test,bias,2.0,0,0,0,0,0,0,False,0
rico,2,outer_test,level_shift,0.5,0,0,0,0,0,0,False,0
rico,2,outer_test,level_shift,1.0,0,0,0,0,0,0,False,0
rico,2,outer_test,level_shift,2.0,0,0,0,0,0,0,False,0
rico,2,outer_test,drift,0.5,0,0,0,0,0,0,False,0
rico,2,outer_test,drift,1.0,0,0,0,0,0,0,False,0
rico,2,outer_test,drift,2.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,random_missing,0.5,1,1,1,1,0,0,False,1
rico,2,inner0_selection,random_missing,1.0,2,2,2,2,0,0,False,2
rico,2,inner0_selection,random_missing,2.0,3,3,3,3,0,0,False,3
rico,2,inner0_selection,block_missing,0.5,3,3,3,3,0,0,False,3
rico,2,inner0_selection,block_missing,1.0,3,3,3,3,0,0,False,3
rico,2,inner0_selection,block_missing,2.0,2,2,2,2,0,0,False,2
rico,2,inner0_selection,stuck,0.5,1,1,0,0,1,0,False,1
rico,2,inner0_selection,stuck,1.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,stuck,2.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,dropout,0.5,0,0,0,0,0,0,False,0
rico,2,inner0_selection,dropout,1.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,dropout,2.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,bias,0.5,0,0,0,0,0,0,False,0
rico,2,inner0_selection,bias,1.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,bias,2.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,level_shift,0.5,0,0,0,0,0,0,False,0
rico,2,inner0_selection,level_shift,1.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,level_shift,2.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,drift,0.5,0,0,0,0,0,0,False,0
rico,2,inner0_selection,drift,1.0,0,0,0,0,0,0,False,0
rico,2,inner0_selection,drift,2.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,random_missing,0.5,1,1,1,1,0,0,False,1
rico,2,inner1_selection,random_missing,1.0,2,2,2,2,0,0,False,2
rico,2,inner1_selection,random_missing,2.0,3,3,3,3,0,0,False,3
rico,2,inner1_selection,block_missing,0.5,3,3,3,3,0,0,False,3
rico,2,inner1_selection,block_missing,1.0,3,3,3,3,0,0,False,3
rico,2,inner1_selection,block_missing,2.0,2,2,2,2,0,0,False,2
rico,2,inner1_selection,stuck,0.5,1,1,1,1,0,0,False,1
rico,2,inner1_selection,stuck,1.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,stuck,2.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,dropout,0.5,0,0,0,0,0,0,False,0
rico,2,inner1_selection,dropout,1.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,dropout,2.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,bias,0.5,0,0,0,0,0,0,False,0
rico,2,inner1_selection,bias,1.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,bias,2.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,level_shift,0.5,0,0,0,0,0,0,False,0
rico,2,inner1_selection,level_shift,1.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,level_shift,2.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,drift,0.5,0,0,0,0,0,0,False,0
rico,2,inner1_selection,drift,1.0,0,0,0,0,0,0,False,0
rico,2,inner1_selection,drift,2.0,0,0,0,0,0,0,False,0
